Title,Date,Rating,Review
Shining lights by the port,2024-05-10,5,不輸海外的港灣建設，夜晚拍照超美。
"Old building, new stories",2024-05-17,5,日治時期建築保存良好，展覽也很有深度。
Romance by the river,2024-11-14,4,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
A stroll through time,2024-06-05,3,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
Light beneath the city,2024-06-26,3,一走進來彷彿進入了玻璃彩繪的時光隧道。
Where culture breathes,2025-02-16,2,建築現代又不失文化氣息，常有好展覽值得一來再來。
City view with a heart,2025-01-21,4,眺望高雄港夜景一絕，還能拍浪漫打卡照。
"Old building, new stories",2025-02-17,1,日治時期建築保存良好，展覽也很有深度。
Urban nature escape,2024-10-21,5,可以看到水鳥與自然生態，放鬆散步好去處。
Urban creativity unleashed,2024-05-29,5,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Tea with a view,2024-10-14,2,建築優美，坐在茶坊看海超有感覺。
A stroll through time,2025-01-10,4,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
Youthful buzz and bites,2024-07-08,5,年輕人超多，流行穿搭、好吃甜品都在這。
Serenity in the city,2024-07-18,4,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Urban creativity unleashed,2025-01-04,3,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Dry goods heaven,2025-01-31,4,辦年貨聖地，各式乾貨香料讓人目不暇給。
Mountainside wildlife encounter,2024-05-29,4,雖然不大但規劃用心，小朋友超愛近距離看動物。
Modern art marvel,2025-03-16,5,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Shining lights by the port,2024-06-03,5,不輸海外的港灣建設，夜晚拍照超美。
Light beneath the city,2024-10-11,5,一走進來彷彿進入了玻璃彩繪的時光隧道。
Rails through time,2025-04-08,5,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
"Dragons, temples and peace",2024-12-22,5,龍虎塔氣勢磅礡，騎車繞湖一圈非常放鬆。
Romance by the river,2025-04-18,5,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Urban creativity unleashed,2024-12-10,2,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Youthful buzz and bites,2025-03-03,1,年輕人超多，流行穿搭、好吃甜品都在這。
"Old building, new stories",2024-10-05,5,日治時期建築保存良好，展覽也很有深度。
Serenity in the city,2024-10-06,5,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Urban nature escape,2024-04-29,5,可以看到水鳥與自然生態，放鬆散步好去處。
Romance by the river,2024-12-31,5,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Lamb it up!,2025-03-25,5,愛吃羊肉的朋友的天堂！每家都有特色。
Urban nature escape,2024-11-15,4,可以看到水鳥與自然生態，放鬆散步好去處。
Dry goods heaven,2024-11-21,4,辦年貨聖地，各式乾貨香料讓人目不暇給。
Dry goods heaven,2024-09-28,3,辦年貨聖地，各式乾貨香料讓人目不暇給。
Music by the harbor,2024-07-26,4,建築外觀像艘太空船，裡面卻充滿搖滾與靈魂。
Modern art marvel,2025-01-18,4,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Spiritual serenity,2024-07-29,5,無論信仰與否，這裡的莊嚴與寧靜會讓人靜下心來。
Street art with soul,2025-03-09,2,街頭巷尾充滿塗鴉與藝術裝置，拍照打卡好去處。
Street art with soul,2025-02-07,5,街頭巷尾充滿塗鴉與藝術裝置，拍照打卡好去處。
Where culture breathes,2024-12-12,5,建築現代又不失文化氣息，常有好展覽值得一來再來。
Sky-high shopping vibes,2024-08-06,4,搭上摩天輪，整個高雄盡收眼底！
Urban creativity unleashed,2025-01-05,5,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Urban creativity unleashed,2024-10-30,2,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
A stroll through time,2024-08-01,4,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
"Dragons, temples and peace",2025-02-10,5,龍虎塔氣勢磅礡，騎車繞湖一圈非常放鬆。
Lamb it up!,2025-03-25,5,愛吃羊肉的朋友的天堂！每家都有特色。
Urban creativity unleashed,2024-07-02,5,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
A stroll through time,2024-04-26,4,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
"Old building, new stories",2024-07-10,5,日治時期建築保存良好，展覽也很有深度。
Serenity in the city,2024-08-13,4,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Urban nature escape,2025-01-31,5,可以看到水鳥與自然生態，放鬆散步好去處。
Urban creativity unleashed,2024-05-11,5,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Whispers of wings,2025-03-14,5,蝴蝶翩翩飛舞，像走進童話世界。
Mountainside wildlife encounter,2024-11-24,3,雖然不大但規劃用心，小朋友超愛近距離看動物。
Modern art marvel,2024-05-13,4,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Music by the harbor,2025-02-04,4,建築外觀像艘太空船，裡面卻充滿搖滾與靈魂。
Serenity in the city,2024-10-06,5,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Spiritual serenity,2025-02-27,5,無論信仰與否，這裡的莊嚴與寧靜會讓人靜下心來。
Dry goods heaven,2025-04-08,5,辦年貨聖地，各式乾貨香料讓人目不暇給。
Romance by the river,2024-08-23,1,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Golden hour perfection,2024-10-11,3,夕陽緩緩落入海平線，連空氣都帶著金色。
Youthful buzz and bites,2024-04-26,3,年輕人超多，流行穿搭、好吃甜品都在這。
Waves and wind,2025-02-04,3,玩沙、吃海鮮、吹海風，來高雄不來旗津就白來了。
City view with a heart,2025-03-11,4,眺望高雄港夜景一絕，還能拍浪漫打卡照。
Golden hour perfection,2024-10-10,5,夕陽緩緩落入海平線，連空氣都帶著金色。
Music by the harbor,2025-03-29,5,建築外觀像艘太空船，裡面卻充滿搖滾與靈魂。
A stroll through time,2024-07-29,5,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
Where culture breathes,2024-11-01,3,建築現代又不失文化氣息，常有好展覽值得一來再來。
Light beneath the city,2025-01-05,4,一走進來彷彿進入了玻璃彩繪的時光隧道。
Serenity in the city,2025-01-17,4,風輕輕吹，湖面波光粼粼，真的很想在這邊發呆一整天。
Mountainside wildlife encounter,2024-06-26,4,雖然不大但規劃用心，小朋友超愛近距離看動物。
Urban nature escape,2024-09-20,1,可以看到水鳥與自然生態，放鬆散步好去處。
Modern art marvel,2025-03-22,4,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Lamb it up!,2024-10-27,4,愛吃羊肉的朋友的天堂！每家都有特色。
Spiritual serenity,2025-04-13,5,無論信仰與否，這裡的莊嚴與寧靜會讓人靜下心來。
Shining lights by the port,2025-01-14,3,不輸海外的港灣建設，夜晚拍照超美。
Hakka roots and heritage,2024-08-01,3,彩繪紙傘、擂茶體驗讓人了解客家文化。
Light beneath the city,2024-08-17,2,一走進來彷彿進入了玻璃彩繪的時光隧道。
"Old building, new stories",2024-06-25,4,日治時期建築保存良好，展覽也很有深度。
Urban nature escape,2024-11-29,5,可以看到水鳥與自然生態，放鬆散步好去處。
Romance by the river,2025-02-18,5,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Light beneath the city,2025-01-14,3,一走進來彷彿進入了玻璃彩繪的時光隧道。
Whispers of wings,2024-07-02,5,蝴蝶翩翩飛舞，像走進童話世界。
"Old building, new stories",2024-06-30,3,日治時期建築保存良好，展覽也很有深度。
Hakka roots and heritage,2024-07-29,4,彩繪紙傘、擂茶體驗讓人了解客家文化。
A stroll through time,2024-08-21,4,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
Romance by the river,2024-07-01,4,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Modern art marvel,2025-01-24,1,現代感十足，外型像大鯨魚，裡頭的劇場聲音超讚。
Romance by the river,2024-11-15,5,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Shining lights by the port,2024-11-21,5,不輸海外的港灣建設，夜晚拍照超美。
Lamb it up!,2025-03-29,3,愛吃羊肉的朋友的天堂！每家都有特色。
Youthful buzz and bites,2024-11-10,2,年輕人超多，流行穿搭、好吃甜品都在這。
Youthful buzz and bites,2024-12-02,5,年輕人超多，流行穿搭、好吃甜品都在這。
Rails through time,2025-01-19,4,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
"Old building, new stories",2024-05-06,5,日治時期建築保存良好，展覽也很有深度。
Rails through time,2025-04-11,5,一邊聽火車聲，一邊喝手搖杯，有種莫名的療癒感。
"Dragons, temples and peace",2024-11-09,3,龍虎塔氣勢磅礡，騎車繞湖一圈非常放鬆。
A feast for the senses,2024-06-20,3,蚵仔煎、木瓜牛奶、香腸、炸雞…肚子抗議但嘴巴停不下來。
Dry goods heaven,2025-03-30,4,辦年貨聖地，各式乾貨香料讓人目不暇給。
Mountainside wildlife encounter,2025-02-10,1,雖然不大但規劃用心，小朋友超愛近距離看動物。
City view with a heart,2024-10-28,1,眺望高雄港夜景一絕，還能拍浪漫打卡照。
"Old building, new stories",2024-11-13,4,日治時期建築保存良好，展覽也很有深度。
Romance by the river,2025-02-19,5,夜晚散步在河邊真的很有情調，河面燈光倒影令人著迷。
Youthful buzz and bites,2024-12-23,5,年輕人超多，流行穿搭、好吃甜品都在這。
Mountainside wildlife encounter,2024-10-14,3,雖然不大但規劃用心，小朋友超愛近距離看動物。
Urban creativity unleashed,2025-03-30,4,倉庫變身為藝術空間，處處驚喜，小孩竟然也看得出神。
Tea with a view,2024-06-28,3,建築優美，坐在茶坊看海超有感覺。
Whispers of wings,2024-09-19,2,蝴蝶翩翩飛舞，像走進童話世界。
Whispers of wings,2025-03-22,3,蝴蝶翩翩飛舞，像走進童話世界。
A feast for the senses,2024-11-07,3,蚵仔煎、木瓜牛奶、香腸、炸雞…肚子抗議但嘴巴停不下來。
A stroll through time,2024-07-05,5,香蕉蛋糕、古早味零食樣樣經典，老街逛起來很有味道。
Tea with a view,2025-01-29,5,建築優美，坐在茶坊看海超有感覺。
Street art with soul,2024-09-03,2,街頭巷尾充滿塗鴉與藝術裝置，拍照打卡好去處。
Music by the harbor,2025-03-15,5,建築外觀像艘太空船，裡面卻充滿搖滾與靈魂。
Mountainside wildlife encounter,2024-07-28,5,雖然不大但規劃用心，小朋友超愛近距離看動物。
City view with a heart,2024-04-22,4,眺望高雄港夜景一絕，還能拍浪漫打卡照。
Street art with soul,2024-06-12,3,街頭巷尾充滿塗鴉與藝術裝置，拍照打卡好去處。
