Location_zh,Location_en,Review,Title,Date,Rating
駁二藝術特區,Pier-2 Art Center,這裡真的很適合拍照，每個角落都像裝置藝術展。,高雄私房推薦,2024-07-26,5
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,景點筆記,2024-08-09,5
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,真心推薦,2025-03-18,4
西子灣日落,Sizihwan Sunset,夕陽和海平線接吻的那一刻，美到讓人屏息。,很有感覺,2024-08-21,5
西子灣日落,Sizihwan Sunset,雖然人有點多，但看見金橘色的落日就覺得一切值得。,很有感覺,2024-10-14,4
西子灣日落,Sizihwan Sunset,推薦傍晚來，騎 YouBike 看海吹風真是太享受了。,CP值高,2024-09-11,3
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,假日好去處,2024-08-30,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,很有感覺,2024-07-25,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,好幾個老火車頭可以參觀拍照，很適合親子旅遊。,CP值高,2025-02-17,5
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,站在正中央往上看，真的像進入科幻世界。,假日好去處,2025-01-05,3
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,全台最美捷運站絕非浪得虛名，藝術感爆棚。,假日好去處,2024-07-14,4
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,經過就會忍不住拍照打卡，每次看都有不同感覺。,CP值高,2024-11-25,5
六合夜市,Liuhe Night Market,超級多好吃的！吃到走不動還想再來一輪。,值得一遊,2025-01-31,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,假日好去處,2024-10-01,3
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,高雄私房推薦,2024-07-30,3
澄清湖,Chengcing Lake,湖光山色令人心曠神怡，適合放空一整天。,假日好去處,2024-05-11,3
澄清湖,Chengcing Lake,湖邊野餐加賞鳥行程，療癒又知性。,假日好去處,2024-08-17,4
澄清湖,Chengcing Lake,步道設計不錯，不會太難走，適合全家出遊。,又想去了,2025-01-11,4
高雄流行音樂中心,Kaohsiung Music Center,戶外舞台配上海景，非常有國際感。,值得一遊,2025-04-06,3
高雄流行音樂中心,Kaohsiung Music Center,晚上來氣氛超棒，燈光秀很值得一看。,值得一遊,2024-07-06,5
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,很有感覺,2024-05-20,3
衛武營藝術中心,Weiwuying Art Center,室內劇院的音響效果令人驚艷，演出質感很高。,高雄私房推薦,2024-08-23,5
衛武營藝術中心,Weiwuying Art Center,外觀像太空飛船，裡面是藝術的殿堂。,值得一遊,2024-07-20,5
衛武營藝術中心,Weiwuying Art Center,很推薦帶孩子來體驗表演藝術，場地舒服又專業。,景點筆記,2024-05-17,5
旗津海水浴場,Cijin Beach,玩沙戲水之後再吃個海鮮晚餐，一次滿足。,景點筆記,2024-08-28,5
旗津海水浴場,Cijin Beach,搭渡輪就像小旅行，很有特色的小島行程。,真心推薦,2024-09-19,5
旗津海水浴場,Cijin Beach,黃昏時分的沙灘，浪花拍岸的聲音很療癒。,第一次來就愛上了,2024-12-18,4
佛陀紀念館,Fo Guang Shan Buddha Museum,肅穆又壯觀，內心自然平靜了下來。,第一次來就愛上了,2025-01-09,5
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,CP值高,2024-04-24,4
佛陀紀念館,Fo Guang Shan Buddha Museum,適合慢慢走、靜靜看，體驗心靈的旅程。,高雄私房推薦,2025-02-07,5
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,來N次還想再來,2025-03-06,4
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,推薦景點,2024-09-19,5
旗津海水浴場,Cijin Beach,搭渡輪就像小旅行，很有特色的小島行程。,假期好選擇,2024-05-14,4
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,推薦景點,2025-03-24,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,假期好選擇,2024-12-09,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,推薦景點,2025-03-28,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,景觀超讚,2025-02-11,5
衛武營藝術中心,Weiwuying Art Center,室內劇院的音響效果令人驚艷，演出質感很高。,重遊也不膩,2025-01-01,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,好幾個老火車頭可以參觀拍照，很適合親子旅遊。,假期好選擇,2024-07-05,5
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,景觀超讚,2024-10-10,4
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,重遊也不膩,2025-04-09,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,推薦景點,2024-09-07,5
衛武營藝術中心,Weiwuying Art Center,室內劇院的音響效果令人驚艷，演出質感很高。,推薦景點,2024-08-23,5
旗津海水浴場,Cijin Beach,搭渡輪就像小旅行，很有特色的小島行程。,推薦景點,2024-06-10,4
西子灣日落,Sizihwan Sunset,雖然人有點多，但看見金橘色的落日就覺得一切值得。,景觀超讚,2025-02-27,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,來N次還想再來,2024-07-08,4
六合夜市,Liuhe Night Market,超級多好吃的！吃到走不動還想再來一輪。,推薦景點,2025-03-02,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,好幾個老火車頭可以參觀拍照，很適合親子旅遊。,景觀超讚,2024-10-27,5
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,景觀超讚,2025-04-22,4
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,假期好選擇,2024-08-07,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,好幾個老火車頭可以參觀拍照，很適合親子旅遊。,假期好選擇,2024-07-03,5
六合夜市,Liuhe Night Market,超級多好吃的！吃到走不動還想再來一輪。,來N次還想再來,2025-01-31,5
高雄流行音樂中心,Kaohsiung Music Center,晚上來氣氛超棒，燈光秀很值得一看。,重遊也不膩,2024-12-22,4
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,推薦景點,2024-11-17,5
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,推薦景點,2024-12-12,4
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,重遊也不膩,2025-03-21,4
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,假期好選擇,2024-12-14,5
駁二藝術特區,Pier-2 Art Center,這裡真的很適合拍照，每個角落都像裝置藝術展。,推薦景點,2024-07-16,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,假期好選擇,2024-11-05,4
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,景觀超讚,2024-05-15,4
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,來N次還想再來,2025-02-04,5
西子灣日落,Sizihwan Sunset,推薦傍晚來，騎 YouBike 看海吹風真是太享受了。,推薦景點,2024-11-20,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,推薦景點,2024-10-06,5
澄清湖,Chengcing Lake,湖光山色令人心曠神怡，適合放空一整天。,景觀超讚,2024-12-28,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,假期好選擇,2025-04-11,4
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,來N次還想再來,2025-01-21,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,假期好選擇,2024-12-26,5
駁二藝術特區,Pier-2 Art Center,這裡真的很適合拍照，每個角落都像裝置藝術展。,假期好選擇,2025-03-08,5
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,景觀超讚,2024-07-28,4
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,假期好選擇,2024-09-12,4
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,重遊也不膩,2025-01-10,4
澄清湖,Chengcing Lake,湖光山色令人心曠神怡，適合放空一整天。,景觀超讚,2024-04-25,5
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,經過就會忍不住拍照打卡，每次看都有不同感覺。,來N次還想再來,2024-12-17,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,來N次還想再來,2024-07-04,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,景觀超讚,2024-06-06,4
衛武營藝術中心,Weiwuying Art Center,室內劇院的音響效果令人驚艷，演出質感很高。,重遊也不膩,2024-10-23,4
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,假期好選擇,2024-12-10,5
澄清湖,Chengcing Lake,步道設計不錯，不會太難走，適合全家出遊。,景觀超讚,2024-11-13,5
旗津海水浴場,Cijin Beach,搭渡輪就像小旅行，很有特色的小島行程。,重遊也不膩,2024-05-06,4
旗津海水浴場,Cijin Beach,黃昏時分的沙灘，浪花拍岸的聲音很療癒。,來N次還想再來,2025-03-11,4
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,來N次還想再來,2024-05-21,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,重遊也不膩,2024-09-15,4
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,站在正中央往上看，真的像進入科幻世界。,推薦景點,2024-05-04,4
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,經過就會忍不住拍照打卡，每次看都有不同感覺。,來N次還想再來,2024-10-24,5
高雄流行音樂中心,Kaohsiung Music Center,戶外舞台配上海景，非常有國際感。,假期好選擇,2024-06-30,4
六合夜市,Liuhe Night Market,地點方便、攤位多元，是初次來高雄必逛夜市。,重遊也不膩,2024-09-08,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,重遊也不膩,2024-12-18,5
澄清湖,Chengcing Lake,步道設計不錯，不會太難走，適合全家出遊。,推薦景點,2025-01-12,5
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,景觀超讚,2024-07-29,5
高雄流行音樂中心,Kaohsiung Music Center,晚上來氣氛超棒，燈光秀很值得一看。,來N次還想再來,2025-01-13,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,景觀超讚,2024-12-31,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,好幾個老火車頭可以參觀拍照，很適合親子旅遊。,推薦景點,2024-06-18,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,推薦景點,2025-01-06,5
美麗島捷運站光之穹頂,Formosa Boulevard Dome of Light,站在正中央往上看，真的像進入科幻世界。,假期好選擇,2025-01-16,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,假期好選擇,2024-05-09,4
高雄流行音樂中心,Kaohsiung Music Center,晚上來氣氛超棒，燈光秀很值得一看。,重遊也不膩,2024-07-20,5
澄清湖,Chengcing Lake,湖邊野餐加賞鳥行程，療癒又知性。,重遊也不膩,2024-06-15,4
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,景觀超讚,2024-11-17,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,假期好選擇,2024-04-24,4
西子灣日落,Sizihwan Sunset,雖然人有點多，但看見金橘色的落日就覺得一切值得。,重遊也不膩,2025-03-12,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,火車迷的天堂，小朋友也玩得超開心。,重遊也不膩,2025-02-03,5
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,來N次還想再來,2024-05-26,5
高雄流行音樂中心,Kaohsiung Music Center,建築設計很有未來感，拍照起來超酷。,景觀超讚,2024-11-18,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,景觀超讚,2024-09-06,5
六合夜市,Liuhe Night Market,超級多好吃的！吃到走不動還想再來一輪。,假期好選擇,2024-06-29,4
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,假期好選擇,2025-01-14,5
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,推薦景點,2024-11-13,5
高雄流行音樂中心,Kaohsiung Music Center,戶外舞台配上海景，非常有國際感。,推薦景點,2025-03-02,4
駁二藝術特區,Pier-2 Art Center,倉庫改建得很有味道，還有市集和街頭表演，超有文青感。,重遊也不膩,2025-01-28,4
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,來N次還想再來,2025-01-02,4
六合夜市,Liuhe Night Market,遊客很多但氣氛很好，推薦木瓜牛奶和烤魷魚。,景觀超讚,2024-11-21,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,推薦景點,2024-12-02,4
佛陀紀念館,Fo Guang Shan Buddha Museum,建築宏偉、園區乾淨，有文化又放鬆。,來N次還想再來,2025-03-07,5
衛武營藝術中心,Weiwuying Art Center,室內劇院的音響效果令人驚艷，演出質感很高。,推薦景點,2024-06-15,5
高雄流行音樂中心,Kaohsiung Music Center,戶外舞台配上海景，非常有國際感。,重遊也不膩,2024-12-02,4
高雄流行音樂中心,Kaohsiung Music Center,晚上來氣氛超棒，燈光秀很值得一看。,景觀超讚,2025-01-13,5
西子灣日落,Sizihwan Sunset,推薦傍晚來，騎 YouBike 看海吹風真是太享受了。,假期好選擇,2024-09-24,4
哈瑪星鐵道文化園區,Hamasen Railway Cultural Park,鐵軌旁的文創市集別有一番風味。,來N次還想再來,2024-05-20,5
駁二藝術特區,Pier-2 Art Center,週末來這走走，喝杯咖啡看展，心情都變好了。,假期好選擇,2025-03-24,4
